rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,forecast_rainfall_1h,forecast_rainfall_3h,forecast_rainfall_6h,forecast_rainfall_12h,temperature,humidity,pressure,wind_speed,elevation,slope,drainage_capacity,impervious_surface,population_density,historical_flood_frequency,flood
2.8,20.87,50.15,87.9,105.13,0.0,21.34,69.81,62.55,25.4,80.61,1002.38,9.38,23.03,2.09,44.95,65.61,4794.02,4.73,0
1.69,33.8,35.43,36.3,38.06,2.28,42.23,43.69,8.09,25.1,68.97,996.85,11.39,37.13,6.31,49.62,94.29,6106.73,9.26,0
5.54,125.54,147.88,152.6,205.21,5.96,92.86,132.87,141.41,17.32,86.0,996.14,2.46,19.3,3.15,43.9,74.96,1973.47,2.78,1
4.91,6.24,25.19,37.08,38.77,2.9,4.21,32.06,14.66,21.14,64.88,1006.31,23.96,14.82,0.2,27.74,45.01,4326.81,2.77,1
14.43,16.48,18.89,38.47,41.08,12.78,31.51,53.02,10.92,27.35,65.09,997.99,17.18,26.67,1.88,70.8,80.84,10308.91,5.59,1
2.13,3.73,12.36,17.91,31.38,1.49,1.78,9.56,49.43,35.24,81.72,1008.72,4.79,18.95,4.69,68.86,63.81,8659.18,5.47,0
2.02,9.68,9.85,27.3,27.5,3.22,2.75,27.7,85.5,26.99,82.9,1016.93,15.05,7.97,2.8,54.43,35.43,5232.5,1.77,1
2.23,6.55,16.42,39.53,44.49,5.89,0.0,22.33,42.11,30.68,82.49,1009.06,2.77,23.97,2.46,47.28,75.67,10437.82,9.38,0
5.44,18.86,27.51,40.41,84.6,3.7,21.78,26.09,32.4,30.78,82.55,994.12,25.54,13.99,0.2,38.28,41.62,6156.52,3.18,0
5.34,12.81,25.4,48.49,49.8,0.71,9.94,39.67,33.07,29.43,71.66,1003.99,21.89,13.31,4.45,65.84,42.81,8921.68,6.1,0
1.0,3.46,18.42,21.92,49.72,0.55,23.48,39.18,32.76,27.59,83.34,1002.77,25.63,14.52,5.04,44.69,58.92,2784.11,5.37,1
2.52,3.68,9.17,10.8,16.3,5.57,0.0,14.57,19.97,27.31,79.32,1000.73,2.82,1.48,4.18,50.57,49.27,6025.52,6.38,0
18.48,57.07,71.12,106.58,179.58,18.76,40.45,72.86,96.44,33.52,88.08,1015.9,11.83,6.17,2.57,56.63,61.42,9401.04,2.92,1
6.24,11.21,14.0,22.3,35.49,12.09,6.09,2.41,4.9,33.91,76.02,1014.31,14.49,20.45,2.84,55.06,90.94,200.0,0.0,0
8.72,17.89,22.37,59.81,116.43,10.38,7.96,22.34,103.0,14.75,60.99,994.5,11.09,16.94,0.29,39.24,44.5,13372.27,9.41,1
0.66,1.08,7.43,10.76,25.61,0.0,3.87,0.0,0.0,30.16,77.87,992.99,11.47,24.38,4.1,52.74,87.57,9022.53,3.23,0
51.66,52.66,54.88,120.37,124.99,33.99,37.27,51.91,89.51,38.41,81.57,1011.09,10.09,17.77,1.72,12.57,35.2,568.14,0.0,0
3.12,29.64,42.24,70.44,76.01,4.87,41.94,38.35,50.87,27.43,81.92,997.66,14.21,26.85,4.11,79.83,82.99,2996.13,9.05,0
3.65,6.55,7.25,16.23,18.76,7.86,8.46,0.0,13.98,35.7,72.21,1011.99,14.78,29.55,2.2,54.21,57.92,3491.83,5.99,0
28.55,61.15,65.69,82.93,90.71,12.6,68.72,64.76,40.73,30.98,78.73,1006.0,3.39,19.72,6.61,68.19,63.05,4682.84,2.82,0
10.84,11.48,14.61,17.36,22.52,7.74,19.44,0.0,48.4,13.11,73.83,994.56,20.44,11.9,3.73,64.05,93.05,5391.17,5.13,0
1.14,3.53,10.71,12.4,34.04,1.93,1.66,0.0,32.26,28.35,82.94,1018.88,17.75,27.89,7.88,51.58,45.64,7283.39,5.32,0
70.0,77.58,80.43,113.51,127.94,39.53,94.84,96.86,99.38,24.95,74.95,1000.98,21.33,1.0,4.55,48.93,66.79,2619.04,7.99,1
0.4,14.95,27.46,29.07,45.04,2.15,16.99,50.95,20.23,26.18,56.97,1004.75,23.99,6.96,3.61,40.35,47.91,10432.18,2.37,1
45.03,55.87,61.7,83.69,86.72,31.12,35.59,59.63,109.97,26.96,84.16,1000.65,31.84,1.18,5.27,76.89,44.66,12687.82,6.99,1
2.45,6.22,18.5,77.73,98.17,5.18,9.97,10.45,45.59,18.82,80.84,1003.33,10.48,1.0,0.75,72.93,48.04,7081.78,0.0,0
4.98,106.83,159.89,167.52,175.59,4.29,109.41,144.44,186.49,35.93,82.29,1011.7,8.2,9.75,3.83,70.82,60.72,2140.82,0.0,1
3.87,25.25,32.51,33.25,46.33,9.17,28.93,32.72,35.62,28.65,87.33,997.52,21.02,3.52,3.59,57.86,48.91,5931.94,2.13,1
0.71,8.24,9.9,35.8,39.79,0.0,9.67,16.73,30.58,36.99,79.59,1004.54,18.39,30.75,0.2,28.08,63.79,3855.37,7.94,0
0.56,0.7,6.15,14.94,24.83,4.11,0.0,14.16,39.46,21.18,100.0,996.32,19.99,1.0,1.33,79.26,55.3,8519.77,4.71,0
2.38,2.87,5.47,26.83,53.26,0.0,0.71,0.0,42.56,31.05,76.25,1000.86,15.12,10.2,0.94,39.96,48.57,2509.58,4.49,0
3.44,7.16,18.68,29.53,32.41,2.47,0.0,31.28,42.74,23.48,76.57,991.03,0.0,31.31,1.23,47.71,35.04,1770.09,3.48,0
6.26,13.77,23.85,97.06,101.63,10.77,1.4,39.28,92.36,25.91,73.39,1006.31,11.98,19.49,3.14,44.15,69.58,14742.73,0.0,1
7.45,12.71,32.61,77.78,98.5,2.4,12.65,18.67,82.73,26.91,81.4,1012.68,0.0,31.69,3.01,51.74,33.52,7509.15,0.0,0
3.58,7.82,41.62,50.51,57.66,8.55,5.64,16.51,10.48,30.76,79.54,1023.1,5.2,18.77,6.24,74.06,47.47,6671.9,4.01,0
2.93,3.55,12.36,31.27,43.79,5.32,0.0,0.0,19.37,33.14,70.33,1009.12,9.69,22.98,2.75,68.97,50.37,1282.42,0.0,0
5.9,8.6,170.5,171.87,192.87,6.55,0.0,193.21,171.03,32.12,76.03,999.35,0.0,27.69,2.8,38.8,62.28,4248.96,2.41,1
14.39,15.19,18.31,129.09,192.71,6.09,15.87,17.23,126.76,19.79,71.8,1011.32,3.05,17.73,1.52,56.78,53.0,10432.18,5.52,0
1.12,3.46,14.57,20.68,68.69,0.0,0.0,21.75,77.74,21.85,78.85,994.59,7.78,12.44,1.1,38.17,57.4,2349.84,6.53,0
1.76,7.2,8.58,93.97,156.99,0.0,0.0,21.3,31.23,22.08,86.25,1013.7,22.87,1.0,3.54,71.25,30.15,5976.29,4.82,0
2.1,5.34,11.44,17.04,26.71,3.57,2.33,0.0,19.02,27.2,89.53,988.38,0.0,23.29,2.99,57.72,51.68,7993.06,6.8,0
0.17,13.64,49.81,73.7,79.42,2.72,10.58,68.64,37.97,29.07,84.94,1004.7,15.76,16.9,5.66,40.59,49.43,6032.96,6.64,0
0.19,5.36,7.09,14.03,50.4,0.82,9.62,0.0,37.43,28.97,61.24,1009.24,5.32,36.95,4.84,59.64,62.83,5372.9,6.04,0
11.25,13.64,16.96,19.59,24.17,12.82,24.14,24.65,6.66,27.51,53.91,1006.13,5.49,22.4,0.2,63.69,78.44,3650.46,0.59,1
1.47,2.13,15.45,21.87,26.39,5.17,1.62,0.54,21.27,24.65,83.23,997.76,18.08,26.62,0.2,74.04,10.0,4151.85,7.08,0
0.72,19.54,20.15,62.87,78.26,0.0,28.68,0.0,38.93,33.47,61.8,1016.83,13.73,6.06,1.78,42.17,37.06,6284.48,0.32,0
0.27,2.13,4.4,8.27,189.75,1.05,0.0,0.0,0.0,25.57,70.97,1005.31,8.88,16.75,2.57,43.25,68.73,6715.17,3.73,0
2.39,5.71,14.18,98.61,101.9,0.0,16.08,15.72,107.63,25.74,68.57,1001.68,15.59,10.79,1.55,33.24,67.03,7635.97,4.69,0
5.75,13.1,19.66,25.49,259.88,1.1,14.89,33.91,0.0,32.94,85.51,993.88,28.22,27.91,2.98,80.44,62.87,5915.75,2.02,0
3.39,5.16,13.91,24.05,27.37,4.76,7.83,33.05,37.3,25.02,79.36,1009.89,10.3,31.96,1.21,59.71,76.61,7980.11,9.75,0
0.83,12.51,26.63,39.09,43.37,0.0,31.45,29.39,29.99,17.95,70.77,995.26,2.42,40.67,3.49,61.08,54.44,5481.39,6.89,0
2.52,5.7,6.88,7.91,19.93,0.0,3.91,0.0,17.42,28.94,64.16,1005.27,22.18,29.32,2.83,47.51,48.67,7403.46,4.59,0
10.45,16.05,36.54,67.88,74.15,10.74,4.56,49.15,59.8,34.0,65.43,997.61,15.69,24.69,3.89,69.58,63.57,7468.15,3.22,0
4.49,18.01,33.21,44.84,51.07,3.2,30.37,38.98,51.25,38.69,73.46,1006.59,7.61,15.78,3.45,68.54,65.74,9777.34,3.72,1
5.77,7.71,10.71,14.26,64.86,3.62,11.87,0.0,30.9,28.66,68.29,1009.42,8.05,13.74,1.3,75.82,71.4,7814.98,7.74,0
1.18,3.4,5.85,8.87,20.35,1.8,6.49,13.34,62.16,28.17,55.65,995.98,0.08,20.21,2.78,47.51,96.2,7646.95,6.18,0
3.5,9.7,10.36,19.24,35.96,0.53,8.03,18.29,14.54,24.72,83.25,1008.89,10.53,29.48,4.76,75.67,92.01,3400.75,4.04,0
1.34,2.06,10.39,14.78,33.01,0.0,2.49,41.19,27.3,21.61,62.56,1016.66,6.61,7.47,2.93,53.56,43.75,5085.08,7.69,0
12.42,21.82,25.12,26.77,33.5,9.76,26.91,0.0,0.0,28.66,80.96,1012.68,18.41,1.0,1.59,57.21,56.49,7432.83,6.37,0
0.25,2.99,15.69,18.66,53.74,0.52,0.0,4.34,49.07,27.07,91.26,1006.22,17.67,24.36,4.26,91.44,77.48,1258.98,5.34,0
1.83,24.35,49.03,290.57,297.25,0.14,8.45,33.55,263.47,36.68,78.16,1014.33,16.09,29.92,3.5,76.9,61.01,7488.36,5.1,0
70.0,73.49,86.23,136.1,200.7,43.65,34.05,88.87,119.38,19.24,81.13,1003.73,10.07,21.02,7.98,68.35,78.89,8531.81,8.44,1
2.55,16.78,18.87,27.79,34.96,3.81,22.04,23.28,0.0,27.75,81.89,1013.67,26.57,38.84,1.2,49.36,68.65,13595.71,8.44,0
0.96,14.78,16.54,24.82,39.15,0.0,20.41,17.94,19.6,30.95,59.61,999.86,19.47,12.63,0.2,65.7,80.22,5865.01,0.0,0
5.12,6.68,8.31,14.8,28.0,7.01,14.92,0.0,29.48,22.67,58.23,1006.33,11.16,1.0,2.04,40.58,88.36,891.66,0.0,0
1.17,3.35,19.81,20.49,22.25,5.78,2.93,47.38,22.74,36.11,59.73,1012.22,5.85,21.23,2.56,39.67,42.3,6829.24,6.99,0
7.39,8.79,28.12,57.58,431.62,2.54,17.67,17.53,44.33,24.95,79.08,1011.97,9.16,1.0,0.2,34.85,36.36,5536.17,0.43,0
1.79,29.43,46.9,58.14,67.6,2.12,28.99,17.16,78.57,25.6,99.8,996.95,15.74,19.57,2.82,53.17,61.93,8543.88,8.13,0
1.24,14.65,17.39,58.2,291.6,0.0,21.57,16.13,68.12,33.09,89.03,1016.17,16.87,30.86,2.45,45.38,90.72,6648.61,6.41,0
3.37,35.41,50.61,52.03,64.73,3.65,57.11,39.3,76.79,24.29,91.78,1008.34,15.96,21.75,2.69,71.73,44.42,1134.22,5.84,0
5.88,9.14,29.71,40.15,49.31,9.76,10.97,24.39,0.0,28.95,73.44,987.21,20.72,37.22,5.68,60.74,60.83,9984.47,9.05,0
4.4,13.17,13.87,33.23,284.77,6.95,15.5,1.09,63.65,33.86,66.11,1011.74,13.3,24.08,3.83,70.91,61.49,10230.49,4.93,0
68.18,77.3,95.97,97.57,103.7,91.83,85.28,99.18,96.72,32.89,67.23,996.06,12.43,29.93,0.6,28.31,74.83,4191.07,2.82,1
3.29,19.89,22.6,103.15,110.38,8.62,9.65,39.34,70.72,26.79,79.08,996.11,13.55,20.06,5.05,74.32,54.07,5358.14,5.99,0
2.94,4.34,6.47,69.05,82.68,0.53,23.7,0.0,55.37,26.9,70.97,1006.15,6.4,17.84,3.81,38.87,47.4,4957.85,0.0,0
1.9,5.38,12.58,17.6,55.28,0.13,3.04,35.62,0.0,29.27,92.79,1002.23,21.97,11.72,0.33,57.26,28.38,5280.69,7.86,0
0.78,5.34,9.94,69.02,120.71,1.3,0.0,0.0,86.62,28.05,75.89,1007.2,0.0,23.63,2.8,54.19,72.72,5775.69,0.58,0
3.9,10.01,38.55,41.54,61.85,0.0,6.17,23.8,84.87,20.68,63.96,993.58,27.82,14.45,2.95,48.56,43.0,5294.55,11.37,1
8.22,9.9,10.63,48.1,114.26,4.06,12.25,1.75,50.73,32.4,63.63,1009.11,16.65,29.0,4.57,43.89,30.89,4399.44,6.67,0
0.26,48.61,70.22,97.99,150.52,0.0,47.86,70.55,117.02,21.95,96.05,998.71,18.01,32.79,3.69,56.51,60.19,5830.68,2.27,1
2.85,4.64,8.41,49.69,86.69,1.72,0.0,22.18,22.35,22.72,79.3,1017.81,0.0,23.34,0.52,44.85,53.44,4738.47,2.4,0
0.43,14.08,33.74,64.06,66.65,2.25,9.59,53.72,23.49,39.47,67.02,1011.85,21.76,8.05,3.89,53.28,69.98,6692.02,7.59,0
15.4,25.93,45.07,50.03,54.72,7.91,35.6,56.5,61.07,22.89,96.9,1003.51,15.01,15.92,1.4,31.5,71.39,3649.8,13.18,1
6.78,42.95,50.98,72.89,74.69,2.13,34.06,41.01,58.32,28.98,81.67,1011.15,20.02,33.69,3.0,59.86,69.21,6424.97,2.81,0
5.99,10.37,13.49,18.47,22.32,6.42,16.64,0.0,2.54,24.96,78.49,1013.14,14.16,5.61,3.98,47.24,93.98,5996.64,0.0,1
30.15,83.68,85.65,118.58,125.5,15.61,91.13,85.22,84.47,25.44,69.05,1010.96,23.43,32.68,1.64,11.17,28.19,10264.88,2.8,1
19.52,24.63,29.67,39.08,60.68,23.29,36.35,33.45,26.27,14.42,52.46,995.86,18.25,21.37,3.33,86.22,37.16,5917.7,4.91,0
0.35,31.32,34.37,160.54,176.36,0.08,22.44,41.97,136.93,23.08,76.5,999.12,32.4,18.92,5.78,51.87,64.67,2035.91,2.66,1
4.53,34.46,51.45,129.16,144.48,2.33,20.88,67.13,135.29,30.44,100.0,991.62,11.88,14.45,0.2,71.97,55.13,8218.89,11.08,0
3.92,21.8,25.33,30.5,88.98,0.0,39.8,6.9,28.9,30.68,61.7,997.27,16.18,18.8,4.03,35.33,66.43,9274.75,5.46,1
1.03,5.54,43.54,53.1,58.75,1.74,8.27,51.05,75.82,22.33,67.16,1003.39,10.39,6.34,2.2,47.41,47.91,5052.63,7.54,0
4.22,7.61,15.04,30.04,57.76,3.35,10.64,27.62,11.63,26.96,57.3,993.93,22.38,14.4,1.0,58.67,50.6,4587.54,6.22,0
4.12,21.59,58.54,63.5,114.14,8.24,32.71,90.84,47.28,24.39,87.37,1012.42,13.43,20.54,4.37,57.11,36.72,3561.08,4.71,0
9.89,17.08,36.64,41.6,55.28,6.12,19.48,44.01,49.44,26.79,82.95,998.19,16.96,28.02,1.79,55.83,48.78,4420.48,0.63,0
7.05,71.36,77.14,427.14,439.66,4.11,63.2,109.96,369.26,22.46,83.02,1002.93,9.13,10.68,7.81,50.78,33.77,3905.34,3.85,1
8.56,10.7,22.21,26.06,33.88,3.03,16.1,25.04,0.0,31.32,80.13,1009.02,17.04,8.16,0.3,43.61,70.17,8070.27,0.0,1
2.01,2.86,4.02,8.13,26.37,2.38,0.0,19.47,0.0,32.82,74.33,1012.84,17.43,15.89,3.86,60.13,78.38,4354.96,4.12,0
0.79,19.37,32.92,35.19,105.29,3.75,25.41,3.56,13.68,22.43,77.25,1008.92,2.38,14.61,5.72,37.8,75.66,4545.81,5.64,1
11.86,12.96,44.39,48.36,70.81,7.52,7.45,57.57,74.3,26.78,61.14,1011.73,11.04,24.1,1.83,81.31,44.22,4987.71,4.32,0
31.71,34.33,46.68,47.09,62.78,32.58,32.16,36.18,11.28,31.81,52.68,997.87,10.8,40.92,4.38,46.09,83.48,3778.45,7.03,1
1.88,3.18,8.75,24.13,33.21,0.7,7.35,1.73,33.14,37.31,89.27,1011.81,38.71,26.19,3.87,66.26,41.84,4668.3,2.48,0
4.03,24.39,47.09,56.16,63.52,7.7,14.01,59.9,68.43,29.93,78.77,998.61,11.91,20.23,2.94,24.83,52.85,6168.62,3.16,1
0.73,1.33,6.03,33.6,158.2,0.0,3.46,12.77,29.52,29.1,87.91,997.55,11.24,1.0,1.88,46.61,41.65,6496.84,3.83,0
0.91,10.22,11.61,23.04,34.75,1.38,0.0,3.39,3.23,30.13,74.65,996.28,11.78,22.71,3.58,85.05,47.96,5779.56,5.28,0
0.38,2.93,4.76,6.15,12.48,2.09,0.0,0.0,16.85,31.12,69.44,1012.41,1.87,5.03,4.28,81.74,68.88,5878.97,0.0,0
2.01,3.19,11.23,23.89,74.97,5.44,0.99,0.0,32.65,28.9,84.3,1019.02,20.34,1.0,5.53,49.55,61.93,2162.24,5.58,0
2.23,62.72,159.94,171.6,189.35,5.3,41.0,142.62,98.73,30.52,100.0,1009.77,25.69,9.85,3.43,39.91,55.9,8316.63,4.31,1
0.48,9.86,117.96,174.5,176.19,3.42,5.87,108.08,185.3,16.31,75.33,1013.1,14.15,14.01,4.6,70.6,83.58,8623.03,7.24,1
3.76,7.4,8.93,12.43,24.16,7.51,13.8,3.11,7.3,33.61,85.63,994.48,15.29,39.78,2.67,62.16,69.83,2890.13,5.53,1
14.97,22.85,27.82,46.65,61.96,16.21,28.99,0.0,79.78,28.92,62.12,991.68,13.1,38.73,2.66,75.91,66.33,7413.75,0.0,0
11.12,12.83,22.14,38.95,52.62,11.49,22.25,14.76,18.26,21.08,90.41,990.37,21.41,16.97,2.62,61.56,70.46,3520.97,6.15,0
2.62,32.45,97.79,123.86,127.8,4.59,32.97,75.12,54.12,28.7,80.23,1008.46,3.3,27.74,6.7,56.26,58.89,6927.01,10.1,1
1.08,3.52,10.44,65.97,208.73,0.0,0.51,0.0,81.24,39.09,61.33,1015.67,14.56,29.67,0.2,78.49,74.16,5883.27,5.94,1
1.74,2.18,24.83,70.89,77.98,0.31,0.0,42.28,126.08,27.23,66.89,1013.82,19.05,28.72,5.14,44.56,57.71,5485.65,0.13,0
4.63,5.49,6.47,87.73,102.49,5.39,16.88,25.58,113.76,28.28,88.24,1009.75,18.99,24.18,2.58,85.65,43.68,6012.92,4.04,0
5.16,9.14,10.08,21.23,25.62,4.59,11.47,0.0,68.75,21.76,85.33,998.5,14.64,12.4,4.01,57.19,51.93,2849.48,4.8,0
70.0,98.65,117.45,127.4,129.0,44.2,118.03,97.11,143.47,22.54,69.11,997.75,18.18,17.21,2.68,64.55,57.44,5165.24,5.41,1
3.72,5.51,7.92,35.67,63.71,3.23,11.3,22.38,64.92,28.14,85.59,1006.26,15.98,11.17,4.26,95.0,53.25,6212.98,2.66,0
1.29,3.97,4.91,9.35,11.46,9.6,0.0,0.0,2.67,23.84,75.86,1010.06,12.18,14.04,2.64,34.65,67.15,639.82,2.67,0
7.59,12.14,45.95,79.38,107.47,9.03,0.0,41.0,49.65,22.47,83.52,1003.43,0.0,24.5,0.2,39.88,84.33,11474.64,0.35,1
40.19,42.8,46.78,117.48,127.97,41.45,59.84,40.0,130.93,25.4,69.02,1002.23,16.41,31.79,0.2,41.69,62.86,5703.41,5.21,0
1.59,5.19,38.08,42.66,57.91,6.26,12.64,42.18,31.82,25.72,88.25,1005.85,15.88,6.5,1.26,89.3,56.8,3675.68,8.29,0
2.74,6.01,11.94,14.03,28.83,7.01,0.0,53.32,0.0,29.96,69.1,993.17,11.21,21.1,0.2,36.61,60.19,4775.48,5.18,0
0.63,42.54,43.34,46.31,73.45,1.32,35.06,38.04,10.67,29.01,64.52,1006.56,3.59,23.56,2.12,77.51,65.83,9707.35,1.73,0
1.86,5.38,8.26,10.82,13.84,0.0,0.0,36.74,20.4,30.21,85.95,991.82,12.15,1.0,7.4,29.48,41.14,2878.2,0.0,0
1.71,2.6,3.0,11.22,22.47,2.46,4.46,0.0,11.44,31.44,87.48,992.63,2.53,10.93,1.1,67.08,66.32,9297.55,5.19,0
6.41,11.82,62.45,75.11,86.52,4.51,19.58,75.17,70.33,26.8,69.28,1023.07,13.47,15.11,3.05,22.95,46.32,8949.72,2.11,0
21.68,31.38,35.47,43.74,50.0,26.57,14.1,30.23,81.82,23.66,81.55,1006.5,11.97,28.93,4.4,60.24,55.4,4927.41,0.0,0
0.69,9.46,44.47,48.18,71.29,0.0,14.58,50.27,35.2,20.73,81.04,1011.16,16.19,46.87,5.57,50.08,54.28,7409.09,1.49,0
4.75,16.85,86.24,99.77,114.13,6.66,19.25,98.9,61.84,22.56,66.42,998.85,19.08,17.97,3.35,35.41,51.69,7761.77,5.78,0
70.0,74.84,77.84,86.79,105.16,36.19,82.05,82.98,81.08,27.31,88.67,1003.21,17.19,13.5,4.03,61.01,75.58,8140.38,5.77,1
14.72,16.84,20.1,33.81,60.87,18.52,0.0,11.91,68.79,20.92,68.1,983.1,10.15,15.25,2.08,72.72,75.49,6233.57,2.89,1
1.06,1.59,5.75,33.02,285.63,0.0,5.92,14.36,46.98,25.9,84.78,1005.37,7.78,42.2,2.37,67.41,16.46,9829.41,8.41,0
7.26,9.4,24.45,28.63,36.55,9.49,3.51,36.41,41.6,30.73,76.94,1012.08,11.57,17.43,1.24,71.27,46.2,7049.32,3.79,1
23.01,29.45,31.44,47.34,61.14,28.85,28.13,7.41,96.16,26.42,57.2,1000.83,25.64,24.51,1.49,44.04,49.93,7083.59,8.01,1
0.51,1.4,16.18,18.37,30.91,0.0,0.75,30.67,21.64,23.27,65.15,999.91,17.28,24.04,0.2,42.43,81.68,6237.65,0.0,1
5.69,14.01,18.59,23.2,232.97,8.4,1.02,5.85,0.0,16.8,81.82,997.53,0.0,26.49,6.82,77.23,55.37,6026.54,6.66,0
3.48,10.8,25.99,35.38,49.62,7.31,26.19,47.69,116.9,21.04,69.73,1007.35,17.18,43.4,1.8,69.48,80.92,8113.94,1.12,0
7.69,14.15,24.06,34.09,69.57,2.18,9.7,25.65,45.99,23.86,95.59,1001.86,10.53,25.79,0.2,42.35,77.66,787.73,7.35,0
5.0,26.21,30.24,61.47,68.82,0.76,30.2,9.84,71.74,36.22,82.72,1000.9,20.13,17.13,2.32,39.66,85.35,200.0,6.39,1
